topology,activation,baseline,objective,n_pairs,cliffs_delta_gp_favorable,median_paired_diff_gp_minus_base,ci95_lo,ci95_hi,wilcoxon_two_sided_p
funnel,squashing,Xavier_Glorot,loss,125,-0.065984,0.026864290237426758,0.00766947865486145,0.05015828646719456,2.0543153857332693e-05
funnel,squashing,He_Kaiming,acc,125,-0.025088,-0.002499997615814209,-0.005875401198863981,0.0,0.07640920939808069
funnel,squashing,He_Kaiming,loss,125,-0.030656,-0.0002804696559906006,-0.010614275932312012,0.00741809606552124,0.6458585910270258
funnel,squashing,LeCun,acc,125,-0.018816,-0.001374959945678711,-0.006459832191467285,0.0,0.09474950579365177
funnel,squashing,LeCun,loss,125,-0.03232,0.005441874265670776,-0.0034022927284240723,0.019404292106628418,0.03929559988550135
funnel,squashing,Orthogonal,acc,125,0.013696,0.0,-0.007873356342315674,0.0025000572204589844,0.6225176185826714
funnel,squashing,Orthogonal,loss,125,-0.076992,0.0294608473777771,0.015977566689252855,0.045959558337926865,3.23043309774467e-06
funnel,squashing,FAVI,acc,125,0.027072,0.0030602216720581055,0.0,0.008196711540222168,0.054662572763087655
funnel,squashing,FAVI,loss,125,-0.074048,0.027096688747406006,0.018376916646957397,0.03464263677597046,1.2798623498979163e-06
funnel,squashing,Laor,acc,125,0.06912,0.01449275016784668,0.004761874675750732,0.02525252103805542,1.0963564570819006e-05
funnel,squashing,Laor,loss,125,0.079168,-0.02079862356185913,-0.0382077693939209,-0.00956505537033081,0.0016046333893472787
shallow,aggregation,Xavier_Glorot,acc,125,-0.000384,0.0,-0.00020122528076171875,0.0,0.3386809356380934
shallow,aggregation,Xavier_Glorot,loss,125,-0.00672,0.00020614266395568848,-0.0009672641754150391,0.002691984176635742,0.9185557632424889
shallow,aggregation,He_Kaiming,acc,125,-0.024,0.0,-0.005060851573944092,0.0,0.008894620584910138
shallow,aggregation,He_Kaiming,loss,125,0.033472,-0.007105320692062378,-0.01272439956665039,-5.462765693664551e-05,0.000310998031076839
shallow,aggregation,LeCun,acc,125,-0.011264,0.0,-0.0025000572204589844,5.960464477539063e-08,0.028916408123693043
shallow,aggregation,LeCun,loss,125,0.018112,-0.006338447332382202,-0.011780023574829102,-0.002912461757659912,0.0009238194423925582
shallow,aggregation,Orthogonal,acc,125,0.007744,0.0,-0.002499997615814209,0.0,0.916866506371646
shallow,aggregation,Orthogonal,loss,125,-0.00608,0.0009482130408287048,-0.0006260871887207031,0.007124781608581543,0.2165845166892887
shallow,aggregation,FAVI,acc,125,0.023104,0.0,0.0,0.0024469494819641113,0.24416479113628253
shallow,aggregation,FAVI,loss,125,0.0016,0.0012054443359375,-0.0008082091808319092,0.006069481372833252,0.08934176077678992
shallow,aggregation,Laor,acc,125,0.06912,0.009999990463256836,0.00418013334274292,0.016832053661346436,4.908785385885719e-05
shallow,aggregation,Laor,loss,125,0.283712,-0.10219639539718628,-0.16562584042549133,-0.04857146739959717,4.0536790668135376e-11
shallow,linear,Xavier_Glorot,acc,125,-0.111488,-0.03454554080963135,-0.053907692432403564,-0.02360779047012329,2.0736742478350189e-07
shallow,linear,Xavier_Glorot,loss,125,-0.854336,4.447850227355957,3.4773582816123962,5.6464657336473465,3.4262933658624887e-22
shallow,linear,He_Kaiming,acc,125,-0.10464,-0.03545457124710083,-0.04722920060157776,-0.022499918937683105,7.922202173052976e-08
shallow,linear,He_Kaiming,loss,125,-0.850624,4.449848055839539,3.4679225981235504,5.655875459313393,5.412008458675629e-22
shallow,linear,LeCun,acc,125,-0.116416,-0.03250008821487427,-0.05250006914138794,-0.026190519332885742,1.1239541717563933e-07
shallow,linear,LeCun,loss,125,-0.853312,4.446061357855797,3.4832101464271545,5.6477992832660675,3.595565657535253e-22
shallow,linear,Orthogonal,acc,125,-0.102144,-0.034740328788757324,-0.047500014305114746,-0.02525252103805542,5.520216978712644e-07
shallow,linear,Orthogonal,loss,125,-0.853568,4.444583684206009,3.4915435910224915,5.647209003567696,3.4262933658624887e-22
shallow,linear,FAVI,acc,125,-0.108224,-0.0350000262260437,-0.05250006914138794,-0.024999916553497314,1.829361345836594e-07
