topology,activation,rule,baseline,cluster,n_trials,gp_acc_mean,baseline_acc_mean,gp_loss_mean,baseline_loss_mean,wilcoxon_acc_stat,wilcoxon_acc_pval_raw,wilcoxon_loss_stat,wilcoxon_loss_pval_raw,binomial_wins,binomial_win_rate,wilcoxon_acc_pval_holm,wilcoxon_loss_pval_holm,acc_significant,loss_significant
shallow,rectification,GP_Rule_5,LeCun,2,60,0.7463841577370961,0.7478761523962021,0.5658042545119921,0.5735263050844271,556.5,0.782873256920952,959.0,0.6269971149670848,30,0.5,1.0,1.0,False,False
shallow,rectification,GP_Rule_5,Orthogonal,2,60,0.7463841577370961,0.7495481332143148,0.5658042545119921,0.5643808659166097,555.0,0.7871029435205634,828.0,0.2609369681761248,33,0.55,1.0,1.0,False,False
shallow,rectification,GP_Rule_5,FAVI,2,60,0.7463841577370961,0.7490850587685903,0.5658042545119921,0.5746724290152391,403.0,0.80101558491236,733.0,0.09015327791562056,36,0.6,1.0,1.0,False,False
shallow,rectification,GP_Rule_5,Laor,2,60,0.7463841577370961,0.7206187432010969,0.5658042545119921,0.6979649518926938,1327.0,0.00042459753823987734,408.0,9.485734051604028e-05,43,0.7166666666666667,0.03524159567390982,0.007778301922315303,True,True
shallow,smooth,GP_Rule_1,Xavier_Glorot,0,15,0.8990947961807251,0.9075247287750244,0.21367124021053313,0.1984302615125974,18.0,0.9937744140625,108.0,0.998321533203125,2,0.13333333333333333,1.0,1.0,False,False
shallow,smooth,GP_Rule_1,He_Kaiming,0,15,0.8990947961807251,0.9172191421190897,0.21367124021053313,0.1767571523785591,16.0,0.9937821978808152,117.0,0.999908447265625,1,0.06666666666666667,1.0,1.0,False,False
shallow,smooth,GP_Rule_1,LeCun,0,15,0.8990947961807251,0.9163694341977437,0.21367124021053313,0.18428776015837986,12.0,0.996802087014246,110.0,0.998992919921875,1,0.06666666666666667,1.0,1.0,False,False
shallow,smooth,GP_Rule_1,Orthogonal,0,15,0.8990947961807251,0.8977755506833395,0.21367124021053313,0.20968683411677677,65.0,0.21631297451006987,82.0,0.8961181640625,5,0.3333333333333333,1.0,1.0,False,False
shallow,smooth,GP_Rule_1,FAVI,0,15,0.8990947961807251,0.8976188421249389,0.21367124021053313,0.20771083037058513,41.0,0.437664624573961,120.0,1.0,0,0.0,1.0,1.0,False,False
shallow,smooth,GP_Rule_1,Laor,0,15,0.8990947961807251,0.8959237694740295,0.21367124021053313,0.25015082557996116,70.0,0.29974365234375,38.0,0.114654541015625,9,0.6,1.0,1.0,False,False
shallow,smooth,GP_Rule_2,Xavier_Glorot,0,15,0.8935784498850504,0.9075247287750244,0.21955077052116395,0.1984302615125974,14.0,0.997314453125,98.0,0.987213134765625,3,0.2,1.0,1.0,False,False
shallow,smooth,GP_Rule_2,He_Kaiming,0,15,0.8935784498850504,0.9172191421190897,0.21955077052116395,0.1767571523785591,6.0,0.99969482421875,103.0,0.994873046875,4,0.26666666666666666,1.0,1.0,False,False
shallow,smooth,GP_Rule_2,LeCun,0,15,0.8935784498850504,0.9163694341977437,0.21955077052116395,0.18428776015837986,7.0,0.9978571523502593,88.0,0.946502685546875,5,0.3333333333333333,1.0,1.0,False,False
shallow,smooth,GP_Rule_2,Orthogonal,0,15,0.8935784498850504,0.8977755506833395,0.21955077052116395,0.20968683411677677,33.0,0.8895505546661007,94.0,0.976043701171875,4,0.26666666666666666,1.0,1.0,False,False
shallow,smooth,GP_Rule_2,FAVI,0,15,0.8935784498850504,0.8976188421249389,0.21955077052116395,0.20771083037058513,28.0,0.9681396484375,104.0,0.995819091796875,2,0.13333333333333333,1.0,1.0,False,False
shallow,smooth,GP_Rule_2,Laor,0,15,0.8935784498850504,0.8959237694740295,0.21955077052116395,0.25015082557996116,57.0,0.5765380859375,41.0,0.151397705078125,9,0.6,1.0,1.0,False,False
shallow,smooth,GP_Rule_3,Xavier_Glorot,0,15,0.8796885848045349,0.9075247287750244,0.2478623569011688,0.1984302615125974,3.0,0.999908447265625,106.0,0.997314453125,3,0.2,1.0,1.0,False,False
shallow,smooth,GP_Rule_3,He_Kaiming,0,15,0.8796885848045349,0.9172191421190897,0.2478623569011688,0.1767571523785591,0.0,1.0,115.0,0.999786376953125,2,0.13333333333333333,1.0,1.0,False,False
